Season,TeamName,seed,Wins
2024,Akron,14,0
2024,Alabama,4,4
2024,Arizona,2,2
2024,Auburn,4,0
2024,Baylor,3,1
2024,Boise St.,10,0
2024,BYU,6,0
2024,Charleston,13,0
2024,Clemson,6,3
2024,Colgate,14,0
2024,Colorado,10,1
2024,Colorado St.,10,0
2024,Connecticut,1,6
2024,Creighton,3,2
2024,Dayton,7,1
2024,Drake,10,0
2024,Duke,4,3
2024,Duquesne,11,1
2024,Florida,7,0
2024,Florida Atlantic,8,0
2024,Gonzaga,5,2
2024,Grambling St.,16,0
2024,Grand Canyon,12,1
2024,Houston,1,2
2024,Howard,16,0
2024,Illinois,3,3
2024,Iowa St.,2,2
2024,James Madison,12,1
2024,Kansas,4,1
2024,Kentucky,3,0
2024,Long Beach St.,15,0
2024,Longwood,16,0
2024,Marquette,2,2
2024,McNeese St.,12,0
2024,Michigan St.,9,1
2024,Mississippi St.,8,0
2024,Montana St.,16,0
2024,Morehead St.,14,0
2024,N.C. State,11,4
2024,Nebraska,8,0
2024,Nevada,10,0
2024,New Mexico,11,0
2024,North Carolina,1,2
2024,Northwestern,9,1
2024,Oakland,14,1
2024,Oregon,11,1
2024,Purdue,1,5
2024,Saint Mary's,5,0
2024,Saint Peter's,15,0
2024,Samford,13,0
2024,San Diego St.,5,2
2024,South Carolina,6,0
2024,South Dakota St.,15,0
2024,Stetson,16,0
2024,TCU,9,0
2024,Tennessee,2,3
2024,Texas,7,1
2024,Texas A&M,9,1
2024,Texas Tech,6,0
2024,UAB,12,0
2024,Utah St.,8,1
2024,Vermont,13,0
2024,Virginia,10,0
2024,Wagner,16,0
2024,Washington St.,7,1
2024,Western Kentucky,15,0
2024,Wisconsin,5,0
2024,Yale,13,1
2023,Alabama,1,2
2023,Arizona,2,0
2023,Arizona St.,11,0
2023,Arkansas,8,2
2023,Auburn,9,1
2023,Baylor,3,1
2023,Boise St.,10,0
2023,Charleston,12,0
2023,Colgate,15,0
2023,Connecticut,4,6
2023,Creighton,6,3
2023,Drake,12,0
2023,Duke,5,1
2023,Fairleigh Dickinson,16,1
2023,Florida Atlantic,9,4
2023,Furman,13,1
2023,Gonzaga,3,3
2023,Grand Canyon,14,0
2023,Houston,1,2
2023,Howard,16,0
2023,Illinois,9,0
2023,Indiana,4,1
2023,Iona,13,0
2023,Iowa,8,0
2023,Iowa St.,6,0
2023,Kansas,1,1
2023,Kansas St.,3,3
2023,Kennesaw St.,14,0
2023,Kent St.,13,0
2023,Kentucky,6,1
2023,Louisiana,13,0
2023,Marquette,2,1
2023,Maryland,8,1
2023,Memphis,8,0
2023,Miami FL,5,4
2023,Michigan St.,7,2
2023,Mississippi St.,11,0
2023,Missouri,7,1
2023,Montana St.,14,0
2023,N.C. State,11,0
2023,Nevada,11,0
2023,Northern Kentucky,16,0
2023,Northwestern,7,1
2023,Oral Roberts,12,0
2023,Penn St.,10,1
2023,Pittsburgh,11,1
2023,Princeton,15,2
2023,Providence,11,0
2023,Purdue,1,0
2023,Saint Mary's,5,1
2023,San Diego St.,5,5
2023,Southeast Missouri St.,16,0
2023,TCU,6,1
2023,Tennessee,4,2
2023,Texas,2,3
2023,Texas A&M,7,0
2023,Texas A&M Corpus Chris,16,0
2023,Texas Southern,16,0
2023,UC Santa Barbara,14,0
2023,UCLA,2,2
2023,UNC Asheville,15,0
2023,USC,10,0
2023,Utah St.,10,0
2023,VCU,12,0
2023,Vermont,15,0
2023,Virginia,4,0
2023,West Virginia,9,0
2023,Xavier,3,2
2022,Akron,13,0
2022,Alabama,6,0
2022,Arizona,1,2
2022,Arkansas,4,3
2022,Auburn,2,1
2022,Baylor,1,1
2022,Boise St.,8,0
2022,Bryant,16,0
2022,Cal St. Fullerton,15,0
2022,Chattanooga,13,0
2022,Colgate,14,0
2022,Colorado St.,6,0
2022,Connecticut,5,0
2022,Creighton,9,1
2022,Davidson,10,0
2022,Delaware,15,0
2022,Duke,2,4
2022,Georgia St.,16,0
2022,Gonzaga,1,2
2022,Houston,5,3
2022,Illinois,4,1
2022,Indiana,12,0
2022,Iowa,5,0
2022,Iowa St.,11,2
2022,Jacksonville St.,15,0
2022,Kansas,1,6
2022,Kentucky,2,0
2022,Longwood,14,0
2022,Loyola Chicago,10,0
2022,LSU,6,0
2022,Marquette,9,0
2022,Memphis,9,1
2022,Miami FL,10,3
2022,Michigan,11,2
2022,Michigan St.,7,1
2022,Montana St.,14,0
2022,Murray St.,7,1
2022,New Mexico St.,12,1
2022,Norfolk St.,16,0
2022,North Carolina,8,5
2022,Notre Dame,11,1
2022,Ohio St.,7,1
2022,Providence,4,2
2022,Purdue,3,2
2022,Richmond,12,1
2022,Rutgers,11,0
2022,Saint Mary's,5,1
2022,Saint Peter's,15,3
2022,San Diego St.,8,0
