Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Abilene Christian,70.6234,63,68.4072,117,99.2921,294,101.509,260,103.042,121,105.696,164,-4.18638,220,
2024,Air Force,63.4044,354,61.7838,359,103.451,220,105.902,182,113.982,346,113.089,322,-7.1866,260,
2024,Akron,66.7904,274,65.9084,267,107.817,122,106.985,163,99.6876,47,102.05,97,4.93477,116,14
2024,Alabama,74.1625,7,72.6437,10,121.712,2,125.604,2,108.031,254,103.121,112,22.4823,13,4
2024,Alabama A&M,71.7614,38,70.292,47,95.5025,333,93.5544,347,104.779,178,109.002,237,-15.4481,327,
2024,Alabama St.,69.0655,139,67.0716,200,93.9542,347,92.9266,352,100.59,66,105.653,162,-12.7269,314,
2024,Albany,74.333,6,72.9596,6,104.457,198,105.294,196,106.215,215,111.008,277,-5.71455,244,
2024,Alcorn St.,68.329,185,66.3731,248,105.142,182,106.201,175,113.272,342,116.811,355,-10.6108,297,
2024,American,62.915,359,62.7361,355,106.303,152,103.595,223,106.857,227,113.847,336,-10.2525,294,
2024,Appalachian St.,68.5542,170,66.7138,229,109.696,91,108.279,141,96.6031,13,98.1343,33,10.1449,79,
2024,Arizona,73.376,11,71.8363,16,117.653,10,121.127,8,96.9086,17,94.5032,12,26.6237,6,2
2024,Arizona St.,70.5509,65,69.0579,84,97.504,314,103.934,220,104.597,172,100.174,63,3.76027,129,
2024,Arkansas,72.2026,26,70.7173,36,105.897,164,110.021,103,109.076,272,104.21,136,5.81082,107,
2024,Arkansas Pine Bluff,73.0347,14,71.7637,17,103.856,213,102.008,255,114.427,352,119.15,361,-17.1425,336,
2024,Arkansas St.,70.016,91,67.8178,152,112.501,44,113.599,61,109.815,292,110.283,259,3.3159,131,
2024,Army,63.18,357,62.9774,351,93.7353,349,90.9383,357,102.933,118,109.764,246,-18.8261,345,
2024,Auburn,70.9629,54,69.7854,58,117.364,13,120.584,10,95.7924,7,91.682,4,28.9015,4,4
2024,Austin Peay,65.2414,335,64.2772,334,110.136,80,108.985,125,111.917,328,113.724,333,-4.73948,225,
2024,Ball St.,67.4976,242,66.803,221,105.289,177,102.999,239,106.606,220,110.744,269,-7.74555,266,
